bankName,cardName,imgUrl,benefit,type,rotate,position
삼성카드,삼성 iD GLOBAL 카드,https://d1c5n4ri2guedi.cloudfront.net/card/2676/card_img/32887/2676card_2.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
삼성카드,THE iD. 1st,https://d1c5n4ri2guedi.cloudfront.net/card/2915/card_img/45262/2915card_1.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
삼성카드,THE 1 (스카이패스),https://d1c5n4ri2guedi.cloudfront.net/card/1909/card_img/28087/1909card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,90,center
롯데카드,디지로카 London,https://d1c5n4ri2guedi.cloudfront.net/card/2632/card_img/41192/2632card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
삼성카드,taptap DIGITAL,https://d1c5n4ri2guedi.cloudfront.net/card/657/card_img/27715/657card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,90,center
KB국민카드,KB YOU Prime 카드,https://d1c5n4ri2guedi.cloudfront.net/card/2930/card_img/46558/2930card_1.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
현대카드,the Orange,https://d1c5n4ri2guedi.cloudfront.net/card/2944/card_img/47603/2944card_1.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
우리카드,카드의정석 EVERY MILE SKYPASS,https://d1c5n4ri2guedi.cloudfront.net/card/2553/card_img/44235/2553card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
KB국민카드,KB NEED Pay 카드,https://d1c5n4ri2guedi.cloudfront.net/card/2964/card_img/48106/2964card_1.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
신한카드,신한카드 Air One,https://d1c5n4ri2guedi.cloudfront.net/card/466/card_img/37854/466card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
우리카드,카드의정석 EVERY DISCOUNT,https://d1c5n4ri2guedi.cloudfront.net/card/2719/card_img/46400/2719card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
현대카드,대한항공카드 060,https://d1c5n4ri2guedi.cloudfront.net/card/2709/card_img/45294/2709card_1.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
하나카드,JADE Classic,https://d1c5n4ri2guedi.cloudfront.net/card/2657/card_img/32434/2657card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
롯데카드,디지로카 Las Vegas,https://d1c5n4ri2guedi.cloudfront.net/card/2707/card_img/34645/2707card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
KB국민카드,굿데이올림카드,https://d1c5n4ri2guedi.cloudfront.net/card/115/card_img/20273/115card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,90,center
우리카드,카드의정석2 SUPER,https://d1c5n4ri2guedi.cloudfront.net/card/2980/card_img/48676/2980card_1.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
우리카드,the OPUS silver,https://d1c5n4ri2guedi.cloudfront.net/card/2902/card_img/44665/2902card_1.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
현대카드,대한항공카드 the First Edition2,https://d1c5n4ri2guedi.cloudfront.net/card/2712/card_img/45304/2712card_1.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
신한카드,신한카드 Point Plan,https://d1c5n4ri2guedi.cloudfront.net/card/2666/card_img/32452/2666card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
IBK기업은행,K-패스(신용),https://d1c5n4ri2guedi.cloudfront.net/card/2559/card_img/45648/2559card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
현대카드,현대카드ZERO Edition3(포인트형),https://d1c5n4ri2guedi.cloudfront.net/card/2647/card_img/39626/2646card_3.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
KB국민카드,가온올림카드(실속형),https://d1c5n4ri2guedi.cloudfront.net/card/769/card_img/22243/769card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,90,center
NH농협카드,클래시 트래블카드,https://d1c5n4ri2guedi.cloudfront.net/card/2846/card_img/42434/2846card_1.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
현대카드,대한항공카드 120,https://d1c5n4ri2guedi.cloudfront.net/card/2710/card_img/45297/2710card_1.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
신한카드,신한카드 The BEST-F,https://d1c5n4ri2guedi.cloudfront.net/card/37/card_img/48330/37card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
KB국민카드,WE:SH Travel,https://d1c5n4ri2guedi.cloudfront.net/card/2685/card_img/37137/2685ard_2.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
NH농협카드,zgm.streaming카드,https://d1c5n4ri2guedi.cloudfront.net/card/2428/card_img/27226/2428card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
신한카드,메리어트 본보이™ 더 베스트 신한카드,https://d1c5n4ri2guedi.cloudfront.net/card/716/card_img/22190/716card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,90,center
현대카드,American Express® Green Card Edition2,https://d1c5n4ri2guedi.cloudfront.net/card/2662/card_img/32405/2662card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,90,center
현대카드,현대카드T,https://d1c5n4ri2guedi.cloudfront.net/card/2882/card_img/44416/2882card_1.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
SH수협은행,The Aureum(더 아우름)카드,https://d1c5n4ri2guedi.cloudfront.net/card/2932/card_img/48313/2932card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
삼성카드,삼성 iD ON 카드,https://d1c5n4ri2guedi.cloudfront.net/card/2235/card_img/28314/2235card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
현대카드,에너지플러스 현대카드,https://d1c5n4ri2guedi.cloudfront.net/card/2942/card_img/46756/2942card_1.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
하나카드,토스뱅크 하나카드 Day,https://d1c5n4ri2guedi.cloudfront.net/card/2904/card_img/44666/2904card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
BC 바로카드,BC 바로 클리어 플러스,https://d1c5n4ri2guedi.cloudfront.net/card/2346/card_img/32523/2346card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,180,center
하나카드,원더카드 2.0 FREE+,https://d1c5n4ri2guedi.cloudfront.net/card/2820/card_img/44248/2820card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,90,center
하나카드,하나 스카이패스 아멕스 플래티늄 카드,https://d1c5n4ri2guedi.cloudfront.net/card/2237/card_img/20939/2237card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,90,center
롯데카드,LOCA LIKIT Play,https://d1c5n4ri2guedi.cloudfront.net/card/2263/card_img/20703/2263card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
NH농협카드,zgm.play카드,https://d1c5n4ri2guedi.cloudfront.net/card/2544/card_img/29533/2544card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
우리카드,DA 카드의정석 Ⅱ,https://d1c5n4ri2guedi.cloudfront.net/card/2655/card_img/32217/2655card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
NH농협카드,zgm 할인카드,https://d1c5n4ri2guedi.cloudfront.net/card/2706/card_img/34299/2706card_3.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
롯데카드,디지로카 Paris,https://d1c5n4ri2guedi.cloudfront.net/card/2633/card_img/31798/2633card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
우리카드,카드의정석 EVERY POINT,https://d1c5n4ri2guedi.cloudfront.net/card/2689/card_img/33241/2689card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
KB국민카드,HERITAGE Smart [대한항공 마일리지형],https://d1c5n4ri2guedi.cloudfront.net/card/2451/card_img/27738/2451card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
IBK기업은행,IBK포인트(신용),https://d1c5n4ri2guedi.cloudfront.net/card/2779/card_img/39564/2779card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
